pass2_index,input_url,normalized_input_url,shuffle_sha256,pass1_occurrence_count,source_pass1_indices,source_sheet_rows,source_company_names,pass1_dataset,pass1_state,pass1_page_id,pass1_total_count,pass1_results_count,pass1_is_result_complete,pass1_error,pass1_captcha_required,pass1_system_status
577,https://www.facebook.com/Therabrand.co,https://www.facebook.com/therabrand.co,8e809489383929503ed912690d46712d653653cfb88afed2fd1c927bf666d8dd,1,93,94,Thera,partial-803,positive,104414751518951,77,30,false,,false,NO_KNOWN_ISSUES
578,https://www.facebook.com/likewear,https://www.facebook.com/likewear,8eaf864d37f37a57cd124c3eabfc66ef4a3163bac11d9583383d6ad5b62ace15,1,872,906,LikeWear,partial-803,zero,31121603280,0,0,true,,false,NO_KNOWN_ISSUES
579,https://www.facebook.com/a.lynndesign,https://www.facebook.com/a.lynndesign,8ef878489957f06ba6867945ac46f03ac9cac933861e6e88dd251d00742e31ea,1,1003,1037,A.Lynn,partial-803,zero,445255868973859,0,0,true,,false,NO_KNOWN_ISSUES
580,https://www.facebook.com/teamcocktail,https://www.facebook.com/teamcocktail,8f33b17ee3046ddfa27b9b95e228b9b27380b44cd90369786fada25ae6512a66,1,113,114,Team Cocktail,partial-803,zero,135800189785054,0,0,true,,false,NO_KNOWN_ISSUES
581,https://www.facebook.com/ftb.golf,https://www.facebook.com/ftb.golf,901c08828a01e59718caa62cefa5c23742ebddf17ee1421b2c12a02722fd09ec,1,504,537,FTB Golf,partial-803,positive,108849051613741,2,2,true,,false,NO_KNOWN_ISSUES
582,https://www.facebook.com/EastsideGolf,https://www.facebook.com/eastsidegolf,9036ef353d95c6039b389528a18f5f8c4d990881397e547409ae6f4675a1ec64,1,540,573,Eastside Golf,partial-803,positive,1927480767353355,34,30,false,,false,NO_KNOWN_ISSUES
583,https://www.facebook.com/norainuofficial,https://www.facebook.com/norainuofficial,9052ce57a89dd0d61fad930beae6e9536259ee1289e4c3f0c953972bc2f85705,1,344,376,NORA INU,partial-803,positive_empty,379130075806614,2,0,true,,false,NO_KNOWN_ISSUES
584,https://www.facebook.com/bellabelleshoes,https://www.facebook.com/bellabelleshoes,90549ea1738ca88c2eba9391f7d902ec7d15e5e6ea6401cd75f3ff25268b0249,1,974,1008,Bella Belle Shoes,partial-803,positive,233880336676255,66,30,false,,false,NO_KNOWN_ISSUES
585,https://www.facebook.com/jennabeehandmade,https://www.facebook.com/jennabeehandmade,905e776a99b555f8827cedb6e55fe4c9de3108b55272b81cf9d4a970a0e97ea3,1,436,468,Jenna Bee Handmade,partial-803,zero,917396128367458,0,0,true,,false,NO_KNOWN_ISSUES
586,https://www.facebook.com/mycloudstate,https://www.facebook.com/mycloudstate,9061b54ff77fb78ca42add1d2b2ae11c8560b075302da2b313fb2dcfe8755486,1,357,389,Cloudstate,partial-803,zero,592947830567384,0,0,true,,false,NO_KNOWN_ISSUES
587,https://www.facebook.com/10156059209583669,https://www.facebook.com/10156059209583669,911c1bfb580084a301a8c52a2e1903948ea0d2ed84725e3827afc1aab87761d1,1,1005,1039,Product of the North,continuation-209,error,,,,,no_items,,
588,https://www.facebook.com/Japangelesbrand,https://www.facebook.com/japangelesbrand,918dd7a48c16591a996853b4b8d0f34889583ab29bab16ac13b07ebcc0524d2f,1,439,471,Japangeles,partial-803,zero,207387449287409,0,0,true,,false,NO_KNOWN_ISSUES
589,https://www.facebook.com/avivawholesale,https://www.facebook.com/avivawholesale,91ff5f08171522abdf271fe549c565b9d247044f475c1a40246c45e41b354843,1,983,1017,AVIVA WHOLESALE INC,partial-803,zero,583425405097121,0,0,true,,false,NO_KNOWN_ISSUES
